threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.35,1.0,0.52,0.36
0.1,0.37,0.99,0.54,0.42
0.15,0.46,0.92,0.61,0.6
0.2,0.58,0.82,0.68,0.74
0.25,0.67,0.79,0.72,0.79
0.3,0.68,0.75,0.72,0.79
0.35,0.72,0.73,0.73,0.81
0.4,0.76,0.7,0.73,0.82
0.45,0.81,0.66,0.73,0.83
0.5,0.87,0.62,0.72,0.84
0.55,0.88,0.61,0.72,0.84
0.6,0.9,0.6,0.72,0.84
0.65,0.91,0.6,0.72,0.84
0.7,0.92,0.58,0.71,0.84
0.75,0.93,0.57,0.71,0.84
0.8,0.94,0.55,0.69,0.83
0.85,0.96,0.53,0.68,0.83
0.9,0.96,0.48,0.64,0.82
0.95,0.98,0.4,0.57,0.79
1.0,0.0,0.0,0.0,0.66
