threshold,precision,recall,f1,accuracy
0.0,0.43,1.0,0.6,0.43
0.05,0.44,0.98,0.61,0.45
0.1,0.47,0.98,0.64,0.52
0.15,0.52,0.96,0.67,0.6
0.2,0.52,0.96,0.67,0.6
0.25,0.57,0.91,0.7,0.66
0.3,0.62,0.84,0.72,0.71
0.35,0.65,0.73,0.69,0.71
0.4,0.65,0.73,0.69,0.71
0.45,0.71,0.61,0.66,0.72
0.5,0.78,0.59,0.67,0.75
0.55,0.78,0.53,0.63,0.73
0.6,0.78,0.53,0.63,0.73
0.65,0.83,0.48,0.61,0.73
0.7,0.91,0.43,0.58,0.73
0.75,0.92,0.39,0.54,0.72
0.8,0.92,0.39,0.54,0.72
0.85,0.95,0.32,0.48,0.7
0.9,0.97,0.25,0.39,0.67
0.95,1.0,0.14,0.25,0.63
1.0,1.0,0.14,0.25,0.63
