threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.34,1.0,0.51,0.34
0.1,0.35,1.0,0.52,0.36
0.15,0.37,0.94,0.53,0.44
0.2,0.4,0.88,0.55,0.5
0.25,0.45,0.8,0.57,0.59
0.3,0.48,0.7,0.57,0.63
0.35,0.5,0.62,0.56,0.66
0.4,0.55,0.57,0.56,0.69
0.45,0.58,0.48,0.52,0.7
0.5,0.64,0.42,0.51,0.72
0.55,0.64,0.33,0.43,0.71
0.6,0.69,0.24,0.35,0.7
0.65,0.66,0.15,0.24,0.68
0.7,0.71,0.08,0.15,0.67
0.75,0.8,0.02,0.05,0.66
0.8,0.0,0.0,0.0,0.66
0.85,0.0,0.0,0.0,0.66
0.9,0.0,0.0,0.0,0.66
0.95,0.0,0.0,0.0,0.66
1.0,0.0,0.0,0.0,0.66
